Position (m),Deflection (mm)
0.0,-0.0
0.010101010101010102,0.4207899704545584
0.020202020202020204,0.8410707084517942
0.030303030303030304,1.2603425242209783
0.04040404040404041,1.678116138194939
0.05050505050505051,2.093912681010061
0.06060606060606061,2.507263693506285
0.07070707070707072,2.9177111267271107
0.08080808080808081,3.3248073419195934
0.09090909090909091,3.7281151105343446
0.10101010101010102,4.127207614225534
0.11111111111111112,4.521668444850888
0.12121212121212122,4.911091604471687
0.13131313131313133,5.295081505352773
0.14141414141414144,5.673252969962542
0.15151515151515152,6.045231230972946
0.16161616161616163,6.410651931259498
0.17171717171717174,6.769161123901262
0.18181818181818182,7.120415272180861
0.19191919191919193,7.46408124958448
0.20202020202020204,7.799836339801857
0.21212121212121213,8.12736823672628
0.22222222222222224,8.446375044454605
0.23232323232323235,8.75656527728724
0.24242424242424243,9.05765785972815
0.25252525252525254,9.349382126484855
0.26262626262626265,9.631477822468435
0.27272727272727276,9.903695102793526
0.2828282828282829,10.165794532778321
0.29292929292929293,10.417547087944564
0.30303030303030304,10.658734154017566
0.31313131313131315,10.889147526926193
0.32323232323232326,11.108589412802857
0.33333333333333337,11.31687242798354
0.3434343434343435,11.513819599007775
0.3535353535353536,11.69926436261865
0.36363636363636365,11.873050565762812
0.37373737373737376,12.035032465590469
0.38383838383838387,12.185074729455378
0.393939393939394,12.323052434914862
0.4040404040404041,12.44885106972979
0.4141414141414142,12.562366531864592
0.42424242424242425,12.663505129487262
0.43434343434343436,12.752183580969348
0.4444444444444445,12.828329014885943
0.4545454545454546,12.891878970015707
0.4646464646464647,12.942781395340864
0.4747474747474748,12.98099465004718
0.48484848484848486,13.006487503523985
0.494949494949495,13.019239135364165
0.5050505050505051,13.019239135364163
0.5151515151515152,13.006487503523982
0.5252525252525253,12.980994650047178
0.5353535353535354,12.942781395340862
0.5454545454545455,12.89187897001571
0.5555555555555556,12.828329014885943
0.5656565656565657,12.752183580969346
0.5757575757575758,12.663505129487262
0.5858585858585859,12.562366531864592
0.595959595959596,12.448851069729784
0.6060606060606061,12.323052434914862
0.6161616161616162,12.185074729455378
0.6262626262626263,12.03503246559047
0.6363636363636365,11.873050565762812
0.6464646464646465,11.699264362618647
0.6565656565656566,11.513819599007771
0.6666666666666667,11.316872427983537
0.6767676767676768,11.108589412802854
0.686868686868687,10.88914752692619
0.696969696969697,10.658734154017562
0.7070707070707072,10.41754708794456
0.7171717171717172,10.165794532778317
0.7272727272727273,9.90369510279352
0.7373737373737375,9.63147782246843
0.7474747474747475,9.34938212648485
0.7575757575757577,9.057657859728147
0.7676767676767677,8.756565277287235
0.7777777777777778,8.446375044454605
0.787878787878788,8.12736823672628
0.797979797979798,7.799836339801854
0.8080808080808082,7.464081249584479
0.8181818181818182,7.120415272180862
0.8282828282828284,6.769161123901257
0.8383838383838385,6.410651931259486
0.8484848484848485,6.045231230972944
0.8585858585858587,5.673252969962538
0.8686868686868687,5.2950815053527736
0.8787878787878789,4.911091604471681
0.888888888888889,4.521668444850885
0.8989898989898991,4.127207614225526
0.9090909090909092,3.7281151105343286
0.9191919191919192,3.324807341919596
0.9292929292929294,2.9177111267271045
0.9393939393939394,2.5072636935062826
0.9494949494949496,2.0939126810100572
0.9595959595959597,1.678116138194949
0.9696969696969697,1.2603425242209836
0.9797979797979799,0.8410707084517965
0.98989898989899,0.4207899704545548
1.0,-0.0
